index	prediction	ground_trouth
0	Recipe	Recipe
1	Recipe	Recipe
2	Recipe	Recipe
3	Preparation	Preparation
4	Ingredient	Preparation
5	Ingredient	Ingredient
6	Recipe	Recipe
7	Preparation	Preparation
8	Temperature	Preparation
9	Amount	Amount
10	Amount	Amount
11	Time	Preparation
12	Preparation	Preparation
13	Time	Time
14	Amount	Amount
15	Preparation	Ingredient
16	Amount	Ingredient
17	Preparation	Preparation
18	Ingredient	Preparation
19	Ingredient	Ingredient
20	Preparation	Preparation
21	Cooking technique	Cooking technique
22	Preparation	Preparation
23	Cooking technique	Cooking technique
24	Recipe	Ingredient
25	Amount	Amount
26	Amount	Amount
27	Amount	Amount
28	Ingredient	Preparation
29	Time	Time
30	Time	Preparation
31	Preparation	Preparation
32	Preparation	Preparation
33	Preparation	Preparation
34	Preparation	Preparation
35	Preparation	Preparation
36	Recipe	Recipe
37	Preparation	Preparation
38	Preparation	Recipe
39	Preparation	Cooking technique
40	Ingredient	Ingredient
41	Temperature	Cooking technique
42	Temperature	Temperature
43	Amount	Amount
44	Amount	Amount
45	Amount	Amount
46	Preparation	Ingredient
47	Cooking technique	Miscellaneous
48	Amount	Amount
49	Amount	Amount
50	Time	Time
51	Time	Time
52	Recipe	Recipe
53	Cooking technique	Cooking technique
54	Temperature	Temperature
55	Knowledge	Knowledge
56	Recipe	Cooking technique
57	Cooking technique	Preparation
58	Amount	Amount
59	Cooking technique	Preparation
60	Recipe	Preparation
61	Cooking technique	Preparation
62	Amount	Amount
63	Amount	Amount
64	Cooking technique	Cooking technique
65	Time	Time
66	Preparation	Preparation
67	Recipe	Ingredient
68	Cooking technique	Ingredient
69	Cooking technique	Preparation
70	Preparation	Preparation
71	Preparation	Ingredient
72	Ingredient	Ingredient
73	Amount	Amount
74	Recipe	Preparation
75	Ingredient	Ingredient
76	Preparation	Ingredient
77	Time	Time
78	Amount	Amount
79	Cooking technique	Ingredient
80	Cooking technique	Ingredient
81	Cooking technique	Ingredient
82	Ingredient	Ingredient
83	Amount	Amount
84	Amount	Amount
85	Ingredient	Ingredient
86	Ingredient	Ingredient
87	Preparation	Ingredient
88	Preparation	Preparation
89	Preparation	Preparation
90	Ingredient	Recipe
91	Recipe	Ingredient
92	Ingredient	Recipe
93	Recipe	Recipe
94	Recipe	Ingredient
95	Recipe	Recipe
96	Preparation	Ingredient
97	Cooking technique	Cooking technique
98	Cooking technique	Preparation
99	Amount	Amount
100	Amount	Knowledge
101	Ingredient	Cooking technique
102	Preparation	Ingredient
103	Recipe	Recipe
104	Preparation	Preparation
105	Preparation	Preparation
106	Cooking technique	Cooking technique
107	Preparation	Preparation
108	Cooking technique	Ingredient
109	Equipment	Miscellaneous
110	Recipe	Recipe
111	Preparation	Preparation
112	Preparation	Knowledge
113	Amount	Amount
114	Amount	Knowledge
115	Preparation	Preparation
116	Time	Miscellaneous
117	Preparation	Equipment
118	Amount	Amount
119	Amount	Amount
120	Time	Time
121	Preparation	Preparation
122	Preparation	Preparation
123	Time	Time
124	Preparation	Ingredient
125	Time	Time
126	Amount	Amount
127	Amount	Ingredient
128	Cooking technique	Preparation
129	Ingredient	Preparation
130	Time	Time
131	Ingredient	Preparation
132	Preparation	Preparation
133	Amount	Amount
134	Amount	Amount
135	Ingredient	Ingredient
136	Time	Amount
137	Amount	Ingredient
138	Cooking technique	Ingredient
139	Preparation	Ingredient
140	Ingredient	Ingredient
141	Amount	Preparation
142	Ingredient	Ingredient
143	Amount	Preparation
144	Preparation	Ingredient
145	Cooking technique	Preparation
146	Cooking technique	Miscellaneous
147	Ingredient	Preparation
148	Recipe	Cooking technique
149	Preparation	Preparation
150	Recipe	Ingredient
151	Time	Ingredient
152	Cooking technique	Cooking technique
153	Ingredient	Ingredient
154	Time	Amount
155	Preparation	Ingredient
156	Ingredient	Ingredient
157	Recipe	Recipe
158	Ingredient	Preparation
159	Recipe	Cooking technique
160	Cooking technique	Ingredient
161	Cooking technique	Ingredient
162	Cooking technique	Preparation
163	Temperature	Temperature
164	Time	Time
165	Preparation	Preparation
166	Amount	Ingredient
167	Amount	Amount
168	Amount	Ingredient
169	Preparation	Preparation
170	Preparation	Preparation
171	Amount	Amount
172	Preparation	Preparation
173	Time	Time
174	Recipe	Recipe
175	Amount	Amount
176	Preparation	Preparation
177	Recipe	Cooking technique
178	Time	Time
179	Preparation	Cooking technique
180	Cooking technique	Cooking technique
181	Cooking technique	Recipe
182	Recipe	Recipe
183	Cooking technique	Cooking technique
184	Knowledge	Cooking technique
185	Recipe	Recipe
186	Recipe	Ingredient
187	Ingredient	Ingredient
188	Meal	Meal
189	Time	Preparation
190	Ingredient	Preparation
191	Ingredient	Preparation
192	Amount	Amount
193	Amount	Amount
194	Preparation	Preparation
195	Time	Preparation
196	Preparation	Preparation
197	Time	Time
198	Miscellaneous	Ingredient
199	Amount	Amount
200	Equipment	Equipment
201	Ingredient	Ingredient
202	Preparation	Preparation
203	Preparation	Preparation
204	Amount	Amount
205	Recipe	Ingredient
206	Ingredient	Ingredient
207	Time	Time
208	Preparation	Cooking technique
209	Preparation	Preparation
210	Cooking technique	Preparation
211	Preparation	Ingredient
212	Amount	Amount
213	Preparation	Preparation
214	Cooking technique	Equipment
215	Ingredient	Ingredient
216	Ingredient	Recipe
217	Amount	Amount
218	Amount	Ingredient
219	Ingredient	Ingredient
220	Preparation	Preparation
221	Amount	Amount
222	Ingredient	Preparation
223	Ingredient	Ingredient
224	Ingredient	Preparation
225	Cooking technique	Miscellaneous
226	Amount	Amount
227	Preparation	Preparation
228	Cooking technique	Ingredient
229	Preparation	Preparation
230	Miscellaneous	Knowledge
231	Amount	Amount
232	Knowledge	Ingredient
233	Cooking technique	Cooking technique
234	Knowledge	Ingredient
235	Cooking technique	Cooking technique
236	Recipe	Ingredient
237	Preparation	Preparation
238	Cooking technique	Preparation
239	Preparation	Ingredient
240	Amount	Amount
241	Ingredient	Ingredient
242	Time	Time
243	Amount	Amount
244	Preparation	Preparation
245	Preparation	Ingredient
246	Preparation	Ingredient
247	Preparation	Preparation
248	Recipe	Recipe
249	Amount	Amount
250	Preparation	Preparation
251	Preparation	Preparation
252	Cooking technique	Ingredient
253	Recipe	Ingredient
254	Recipe	Ingredient
255	Amount	Amount
256	Preparation	Preparation
257	Time	Ingredient
258	Time	Preparation
259	Time	Time
260	Amount	Amount
261	Time	Time
262	Amount	Amount
263	Recipe	Recipe
264	Amount	Amount
265	Amount	Amount
266	Ingredient	Equipment
267	Preparation	Preparation
