index	prediction	ground_trouth
0	Miscellaneous	Recipe
1	Miscellaneous	Recipe
2	Recipe	Recipe
3	Recipe	Recipe
4	Cooking technique	Cooking technique
5	Preparation	Preparation
6	Recipe	Recipe
7	Cooking technique	Cooking technique
8	Ingredient	Ingredient
9	Ingredient	Ingredient
10	Ingredient	Amount
11	Preparation	Recipe
12	Amount	Amount
13	Knowledge	Ingredient
14	Recipe	Preparation
15	Preparation	Preparation
16	Ingredient	Ingredient
17	Preparation	Preparation
18	Time	Cooking technique
19	Cooking technique	Cooking technique
20	Amount	Amount
21	Time	Time
22	Cooking technique	Cooking technique
23	Preparation	Cooking technique
24	Recipe	Recipe
25	Amount	Amount
26	Preparation	Preparation
27	Preparation	Preparation
28	Time	Time
29	Amount	Amount
30	Time	Time
31	Recipe	Recipe
32	Preparation	Preparation
33	Ingredient	Preparation
34	Equipment	Equipment
35	Ingredient	Recipe
36	Ingredient	Ingredient
37	Recipe	Recipe
38	Amount	Amount
39	Ingredient	Ingredient
40	Time	Time
41	Ingredient	Amount
42	Cooking technique	Ingredient
43	Ingredient	Preparation
44	Ingredient	Ingredient
45	Cooking technique	Ingredient
46	Miscellaneous	Recipe
47	Preparation	Preparation
48	Preparation	Preparation
49	Preparation	Ingredient
50	Recipe	Ingredient
51	Ingredient	Ingredient
52	Time	Ingredient
53	Time	Time
54	Preparation	Ingredient
55	Ingredient	Ingredient
56	Miscellaneous	Preparation
57	Ingredient	Ingredient
58	Cooking technique	Ingredient
59	Amount	Amount
60	Preparation	Preparation
61	Amount	Amount
62	Preparation	Preparation
63	Amount	Amount
64	Cooking technique	Cooking technique
65	Cooking technique	Cooking technique
66	Miscellaneous	Ingredient
67	Miscellaneous	Ingredient
68	Recipe	Ingredient
69	Preparation	Preparation
70	Preparation	Preparation
71	Ingredient	Preparation
72	Preparation	Preparation
73	Preparation	Ingredient
74	Ingredient	Ingredient
75	Amount	Amount
76	Ingredient	Ingredient
77	Miscellaneous	Preparation
78	Amount	Amount
79	Cooking technique	Cooking technique
80	Time	Time
81	Ingredient	Preparation
82	Preparation	Preparation
83	Amount	Amount
84	Amount	Amount
85	Ingredient	Preparation
86	Ingredient	Ingredient
87	Cooking technique	Cooking technique
88	Amount	Amount
89	Ingredient	Ingredient
90	Preparation	Preparation
91	Ingredient	Preparation
92	Recipe	Preparation
93	Recipe	Recipe
94	Preparation	Ingredient
95	Miscellaneous	Preparation
96	Ingredient	Ingredient
97	Ingredient	Ingredient
98	Miscellaneous	Cooking technique
99	Ingredient	Preparation
100	Preparation	Preparation
101	Time	Time
102	Amount	Amount
103	Cooking technique	Cooking technique
104	Cooking technique	Cooking technique
105	Preparation	Cooking technique
106	Recipe	Ingredient
107	Amount	Amount
108	Amount	Amount
109	Cooking technique	Preparation
110	Amount	Amount
111	Amount	Amount
112	Ingredient	Ingredient
113	Ingredient	Preparation
114	Amount	Preparation
115	Miscellaneous	Cooking technique
116	Preparation	Preparation
117	Cooking technique	Cooking technique
118	Time	Time
119	Ingredient	Ingredient
120	Miscellaneous	Preparation
121	Equipment	Preparation
122	Preparation	Preparation
123	Amount	Amount
124	Cooking technique	Preparation
125	Ingredient	Preparation
126	Recipe	Meal
127	Cooking technique	Cooking technique
128	Knowledge	Ingredient
129	Amount	Amount
130	Time	Time
131	Amount	Amount
132	Ingredient	Preparation
133	Cooking technique	Knowledge
134	Time	Time
135	Miscellaneous	Knowledge
136	Preparation	Ingredient
137	Preparation	Recipe
138	Ingredient	Ingredient
139	Ingredient	Ingredient
140	Ingredient	Preparation
