,id,label,text
0,2689,Recipe, Um can you find me dishes with asparagus with as many dairy products.
1,2690,Recipe,Um can you find me dishes with asparagus with as many dairy products. So I thought about asparagus with tomato scrambled eggs then three dishes would be gone um but I think that does not fit together and no idea. So we need some sauce to the asparagus.
2,2783,Recipe,So I thought about asparagus with tomato scrambled eggs then three dishes would be gone um but I think that does not fit together and no idea. So we need some sauce to the asparagus. Yes or uh have you already found something?
3,2602,Recipe,Yes or uh have you already found something? And what is the low-calorie sauce?
4,2784,Recipe,And what is the low-calorie sauce? Have you found a recipe?
5,2603,Recipe,"Have you found a recipe? Yes, and can you describe it to me?"
6,1069,Ingredient,"Yes, and can you describe it to me? What ingredients are in it?"
7,1002,Ingredient,What ingredients are in it? What else is in it? Lemon juice is also a condiment.
8,1654,Preparation,What else is in it? Lemon juice is also a condiment. Go on.
9,2761,Recipe,Go on. But I think it tastes like shit and I don't want to cook it.
10,2691,Recipe,But I think it tastes like shit and I don't want to cook it. Search sauce on cream or at least milk-based or crème fraîche or IRgendwas
11,2660,Recipe,Search sauce on cream or at least milk-based or crème fraîche or IRgendwas Google asparagus gratin what comes out. Whether there is such a thing.
12,2661,Recipe,Google asparagus gratin what comes out. Whether there is such a thing. So vegetable casserole with asparagus tomatoes and peppers with a sauce on yes such a uh milk egg or cream base.
13,2585,Recipe,So vegetable casserole with asparagus tomatoes and peppers with a sauce on yes such a uh milk egg or cream base. On which platform?
14,2589,Recipe,On which platform? Ok can you show reviews?
15,2590,Recipe,Ok can you show reviews? Show reviews please.
16,2591,Recipe,Show reviews please. Ok then do times the individual reviews here whether there are full many good or or sometimes bad
17,2594,Recipe,Ok then do times the individual reviews here whether there are full many good or or sometimes bad No I mean the ratings not the comments. The ratings the star ratings.
18,2592,Recipe,No I mean the ratings not the comments. The ratings the star ratings. And then maybe again extra ratings
19,2595,Recipe,And then maybe again extra ratings Yes uh what should the by so what the usual ratings are
20,2596,Recipe,Yes uh what should the by so what the usual ratings are Are often zero points zero stars in it or many five or
21,1070,Ingredient,Are often zero points zero stars in it or many five or Ok. Um ok then do times the recipe here what belongs there purely.
22,1600,Preparation,Ok. Um ok then do times the recipe here what belongs there purely. Ok put the comments here or read the recipe how to make it.
23,2770,Recipe,Ok put the comments here or read the recipe how to make it. um um um um um can you look if there are other recipes with asparagus gratin?
24,2604,Recipe,um um um um um can you look if there are other recipes with asparagus gratin? Mhm
25,2682,Recipe,Mhm then um maybe um a salad with the vegetables? with the tomatoes and the peppers and maybe with the remaining eggs scrambled eggs.
26,2683,Recipe,then um maybe um a salad with the vegetables? with the tomatoes and the peppers and maybe with the remaining eggs scrambled eggs. Asparagus eggs tomato cream? Yes.
27,1601,Preparation,Asparagus eggs tomato cream? Yes. Can you read out the second one with the better rating.
28,1881,Preparation,Can you read out the second one with the better rating. Just read the first steps. What I have to do.
29,2493,Cooking technique,Just read the first steps. What I have to do. Okay then google next how to peel asparagus properly. White asparagus.
30,2494,Cooking technique,"Okay then google next how to peel asparagus properly. White asparagus. How to peel asparagus properly, if I have to cut off the ends. WHITE asparagus."
31,2459,Cooking technique,"How to peel asparagus properly, if I have to cut off the ends. WHITE asparagus. Yes. Completely."
32,1655,Preparation,"Yes. Completely. Okay, so now I've washed it and now what?"
