index	prediction	ground_trouth
0	Recipe	Recipe
1	Recipe	Preparation
2	Amount	Amount
3	Amount	Cooking technique
4	Amount	Cooking technique
5	Amount	Amount
6	Amount	Amount
7	Recipe	Recipe
8	Recipe	Recipe
9	Ingredient	Ingredient
10	Recipe	Ingredient
11	Knowledge	Preparation
12	Amount	Amount
13	Time	Time
14	Preparation	Preparation
15	Preparation	Preparation
16	Recipe	Recipe
17	Ingredient	Ingredient
18	Amount	Amount
19	Amount	Amount
20	Amount	Amount
21	Recipe	Ingredient
22	Amount	Amount
23	Preparation	Cooking technique
24	Amount	Amount
25	Preparation	Preparation
26	Amount	Amount
27	Amount	Amount
28	Preparation	Preparation
29	Recipe	Preparation
30	Amount	Amount
31	Preparation	Cooking technique
32	Temperature	Temperature
33	Amount	Amount
34	Recipe	Preparation
35	Ingredient	Ingredient
36	Amount	Amount
37	Cooking technique	Miscellaneous
38	Amount	Miscellaneous
39	Cooking technique	Preparation
40	Preparation	Equipment
41	Amount	Ingredient
42	Cooking technique	Ingredient
43	Equipment	Preparation
44	Cooking technique	Preparation
45	Cooking technique	Preparation
46	Time	Preparation
47	Time	Time
48	Recipe	Ingredient
49	Cooking technique	Preparation
50	Amount	Amount
51	Cooking technique	Preparation
52	Cooking technique	Cooking technique
53	Time	Temperature
54	Time	Time
55	Cooking technique	Cooking technique
56	Preparation	Cooking technique
57	Time	Time
58	Amount	Amount
59	Amount	Amount
60	Time	Time
61	Ingredient	Ingredient
62	Preparation	Preparation
63	Ingredient	Ingredient
64	Cooking technique	Ingredient
65	Recipe	Preparation
66	Time	Preparation
67	Recipe	Preparation
68	Ingredient	Knowledge
69	Recipe	Preparation
70	Amount	Ingredient
71	Cooking technique	Cooking technique
72	Preparation	Cooking technique
73	Amount	Amount
74	Time	Time
75	Ingredient	Ingredient
76	Ingredient	Ingredient
77	Preparation	Preparation
78	Ingredient	Ingredient
79	Amount	Amount
80	Recipe	Preparation
81	Cooking technique	Cooking technique
